x_value,theta,r
15,10.125,628.25
15,11.484375,632.5
15,14.109375,418.25
15,15.328125,420.25
15,16.671875,418.75
15,17.9375,416.25
15,19.40625,415.75
15,20.75,415.75
15,22.171875,413.5
15,23.484375,415.25
15,24.75,415.25
15,26.3125,415.5
15,27.59375,414.5
15,29.171875,416.5
15,30.453125,416.75
15,35.9375,247.25
15,36.46875,247.75
14,38.65625,219.75
15,40.53125,157.25
15,41.890625,152.5
15,43.390625,149.25
15,45.796875,146.5
15,46.140625,143.75
15,47.921875,141.5
15,48.859375,139.75
15,50.234375,138.5
15,51.59375,137.25
15,52.953125,135.75
15,54.3125,134.0
12,57.40625,132.25
11,164.578125,131.5
15,165.953125,133.25
15,167.3125,135.25
15,168.671875,136.75
15,170.046875,137.75
15,171.40625,138.25
15,172.765625,138.75
15,174.125,139.0
15,175.828125,139.5
15,176.84375,139.75
15,179.59375,140.25
15,179.578125,141.0
15,182.046875,142.25
15,182.3125,143.75
15,184.703125,146.5
15,185.015625,148.75
15,186.390625,151.25
15,187.75,153.0
15,189.109375,156.5
15,190.46875,158.75
15,191.828125,162.75
15,204.03125,240.25
15,205.96875,224.0
15,207.65625,216.5
15,209.015625,217.0
15,210.453125,215.5
15,211.8125,213.0
15,213.1875,210.0
15,213.71875,207.75
15,215.03125,206.0
15,216.3125,204.25
15,218.640625,203.0
15,220.0,201.75
15,221.375,200.5
15,222.484375,200.0
15,224.09375,199.25
15,225.46875,199.0
15,226.828125,199.25
15,228.1875,199.5
15,229.5625,199.75
15,230.921875,200.5
15,232.28125,201.25
15,232.828125,202.75
15,234.359375,203.75
15,235.9375,205.75
15,236.953125,208.0
15,238.078125,210.75
15,240.4375,214.75
15,242.984375,237.0
15,248.859375,293.5
15,249.578125,303.25
15,250.921875,313.75
15,252.140625,326.0
15,253.65625,338.25
15,254.5,355.75
15,259.140625,438.0
15,260.671875,424.25
15,262.203125,417.25
15,263.484375,416.25
15,264.9375,420.75
15,267.734375,1553.5
15,269.09375,1551.25
15,270.484375,1548.5
15,271.828125,1544.5
15,273.265625,1546.75
15,274.5625,1546.75
15,275.796875,1548.5
15,277.125,1546.75
15,278.484375,1551.0
15,279.875,1559.5
15,281.1875,1563.5
15,282.609375,1566.5
15,283.921875,1570.75
15,285.296875,1577.0
15,286.625,1589.5
15,292.46875,568.25
15,297.453125,662.75
15,301.40625,693.5
15,304.734375,1164.0
15,306.109375,1122.5
15,307.5,1080.25
15,309.0,1045.0
15,313.5625,743.0
14,314.953125,738.5
9,316.296875,734.75
15,320.171875,356.0
15,318.890625,774.0
15,322.984375,808.75
15,324.34375,791.0
15,325.8125,764.5
15,327.171875,763.75
15,328.578125,749.75
15,331.421875,654.0
15,336.015625,558.5
15,337.5,549.25
15,338.65625,546.5
15,340.015625,546.75
14,341.40625,536.75
8,343.09375,525.5
15,345.40625,562.25
15,346.765625,602.0
15,347.78125,642.75
15,349.375,625.75
15,355.109375,270.25
15,356.109375,615.75
14,357.578125,633.5
15,358.90625,625.0
15,0.328125,623.5
8,1.546875,632.25
15,4.28125,621.0
15,5.734375,624.0
15,9.796875,627.0
15,11.078125,631.0
15,13.328125,472.0
15,14.84375,420.75
15,16.640625,418.25
15,17.9375,416.5
15,19.34375,416.75
15,20.625,416.25
15,21.828125,415.25
15,23.140625,416.25
15,24.75,414.0
15,25.8125,415.0
15,27.46875,414.75
15,28.734375,417.0
15,30.109375,416.75
15,34.828125,249.5
15,35.375,246.5
14,37.1875,216.75
15,40.203125,158.75
15,41.5625,153.25
15,43.734375,150.25
15,44.40625,147.25
15,47.015625,144.25
15,47.140625,141.75
15,48.5,140.0
15,49.875,138.75
15,51.234375,137.5
15,53.21875,136.0
15,55.546875,134.75
13,55.3125,132.75
15,167.546875,132.75
15,168.65625,134.75
15,168.234375,136.25
15,169.609375,137.5
15,172.546875,138.25
15,172.3125,138.75
15,174.359375,139.0
15,176.0,139.25
15,177.90625,139.75
15,177.765625,140.0
15,179.109375,140.75
15,180.46875,141.75
15,181.828125,143.25
15,183.1875,145.25
15,184.546875,147.75
15,186.3125,150.5
15,187.3125,152.5
15,188.671875,155.75
15,190.03125,157.75
15,191.390625,161.25
15,204.5,240.25
15,204.046875,231.75
15,207.203125,217.5
15,208.0,216.75
15,209.96875,217.0
15,210.703125,213.5
15,212.6875,211.0
15,213.71875,209.0
15,215.40625,206.75
15,216.765625,204.75
15,217.296875,203.5
15,219.5,202.25
15,220.171875,201.0
15,222.21875,200.25
15,223.578125,199.5
15,224.9375,199.25
15,226.296875,199.0
15,227.671875,199.25
15,229.03125,199.25
15,230.140625,200.0
15,231.75,200.75
15,233.109375,201.75
15,234.5,203.0
15,235.875,204.25
15,236.671875,206.75
15,238.59375,209.0
15,238.75,212.5
15,244.046875,233.75
15,244.90625,241.0
15,250.015625,298.75
15,250.53125,309.0
15,252.03125,320.0
15,253.125,333.0
15,258.578125,449.0
15,260.171875,429.25
15,261.421875,420.0
15,263.171875,416.0
15,264.140625,418.75
15,265.703125,429.5
15,269.875,1549.0
15,271.265625,1547.75
15,272.65625,1547.25
15,274.0,1547.5
15,275.234375,1548.25
15,276.5625,1549.0
15,277.96875,1547.5
15,279.28125,1551.0
15,280.6875,1558.25
15,282.0,1565.5
15,283.390625,1569.5
15,284.75,1575.25
15,286.03125,1585.25
15,287.390625,1594.25
9,293.015625,582.0
7,295.515625,633.75
15,296.828125,667.75
15,298.15625,659.75
15,299.734375,600.75
9,300.453125,892.0
15,302.296875,709.0
15,302.6875,1237.0
15,304.09375,1182.25
15,305.453125,1139.0
15,306.875,1100.25
15,308.296875,1059.0
15,309.703125,1026.5
12,313.0625,743.25
12,314.328125,741.25
9,315.703125,740.0
9,317.015625,733.75
15,319.9375,721.75
15,324.28125,277.5
15,322.3125,813.5
15,323.734375,799.5
15,325.171875,783.5
15,326.515625,781.25
15,327.859375,757.25
15,329.265625,743.0
15,330.921875,651.25
8,335.46875,552.25
15,336.859375,556.75
15,338.296875,550.75
15,339.421875,546.75
10,340.796875,582.0
15,342.3125,525.25
13,348.734375,217.0
15,344.859375,546.75
15,346.125,584.0
15,350.484375,350.0
14,354.875,267.75
15,354.265625,624.25
15,355.53125,639.5
15,356.984375,637.5
15,358.328125,624.25
15,359.703125,624.5
15,0.984375,619.75
15,2.34375,622.75
15,5.125,621.5
7,6.71875,586.5
15,10.625,628.75
15,12.03125,633.0
15,14.328125,420.25
15,15.796875,418.5
15,17.40625,417.5
15,18.421875,415.75
15,19.8125,416.0
15,21.46875,415.0
15,22.8125,413.25
15,24.046875,414.0
15,25.546875,414.25
15,26.828125,414.5
15,27.96875,416.0
15,29.421875,417.0
15,30.640625,419.75
15,34.953125,245.25
12,39.671875,161.5
15,41.03125,155.25
15,42.53125,151.5
15,43.890625,148.25
15,45.265625,145.25
15,46.625,142.75
15,49.0625,140.5
15,49.359375,139.25
15,50.734375,138.0
15,52.21875,136.5
15,53.453125,135.0
15,54.828125,133.25
8,58.265625,131.5
15,165.109375,132.0
15,166.46875,134.0
15,167.828125,136.0
15,169.1875,137.25
15,170.546875,138.0
15,173.4375,138.75
15,173.265625,139.0
15,174.625,139.0
15,175.984375,139.5
15,178.90625,140.0
15,178.703125,140.25
15,180.0625,141.5
15,182.703125,143.0
15,182.78125,144.75
15,184.140625,147.0
15,185.5,149.75
15,186.921875,152.25
15,188.28125,154.75
15,189.65625,157.0
15,202.765625,236.25
